Original_ID,B2,B3,B4,B8,B11,B12,NDVI,NDBI,MNDWI,Class,lon,lat,system:index,RF_Pred,prob_1,prob_2,prob_3,margin
10166,339.0,411.0,183.0,100.0,59.0,48.0,-0.29328620433807373,-0.2578616440296173,0.7489361763000488,3,118.62708397850308,29.418856772694433,10166,3,0.0,0.0,1.0,1.0
10167,392.0,457.0,231.0,265.0,200.0,127.0,0.06854838877916336,-0.13978494703769684,0.39117199182510376,3,118.80495306042401,29.419128777858692,10167,3,0.0,0.0,1.0,1.0
10168,374.0,524.0,244.0,248.0,360.0,221.0,0.008130080997943878,0.18421052396297455,0.18552036583423615,3,118.65897546923735,29.419574687964044,10168,3,0.0,0.0,1.0,1.0
10169,311.0,325.0,160.0,86.0,69.0,52.0,-0.3008130192756653,-0.10967741906642914,0.6497461795806885,3,118.728862960048,29.41966386998511,10169,3,0.0,0.0,1.0,1.0
10170,321.0,360.0,154.0,125.0,84.0,55.0,-0.10394265502691269,-0.19617225229740143,0.6216216087341309,3,118.80036910454106,29.41966386998511,10170,3,0.0,0.0,1.0,1.0
10171,486.0,713.0,364.0,190.0,108.0,80.0,-0.3140794336795807,-0.2751677930355072,0.7369062304496765,3,118.62016791276919,29.419757511107225,10171,3,0.0,0.0,1.0,1.0
10172,357.0,415.0,202.0,99.0,59.0,49.0,-0.342192679643631,-0.2531645596027374,0.7510548233985901,3,118.63328212896742,29.420114239191506,10172,3,0.0,0.0,1.0,1.0
10173,554.0,810.0,818.0,1210.0,1266.0,869.0,0.19329388439655304,0.022617124021053314,-0.2196531742811203,3,118.67756992063026,29.420203421212577,10173,3,0.14666666666666667,0.03333333333333333,0.82,0.6733333333333333
10174,307.0,351.0,172.0,84.0,61.0,45.0,-0.34375,-0.158620685338974,0.7038834691047668,3,118.72482301449362,29.420203421212577,10174,3,0.0,0.0,1.0,1.0
10175,349.0,383.0,188.0,132.0,95.0,68.0,-0.17499999701976776,-0.1629955917596817,0.6025104522705078,3,118.80818590868775,29.42038624435577,10175,3,0.0,0.0,1.0,1.0
