held_out,seed,method,n_train,n_corrected,WC_OA,WC_Kappa,WC_BE,Human_OA,Human_BE
Hangzhou,1,B2_loco_gated,9673,14,0.9575043461464169,0.9335691296572594,168,0.43333333333333335,59
Hangzhou,1,B3_loco_ungated,9673,14,0.9575043461464169,0.9335691296572594,168,0.43333333333333335,59
Hangzhou,1,B4_random_flip,9673,14,0.9594359667761252,0.9365953566364658,159,0.43333333333333335,58
Hangzhou,2,B0_baseline,10173,0,0.9766944622621339,0.9623240678681596,70,0.43333333333333335,57
Hangzhou,2,B1_local_oracle,10173,128,0.9730596536241181,0.9563852114914105,86,0.44,59
Hangzhou,2,B2_loco_gated,10173,19,0.9764806499893094,0.9619587793978918,73,0.43333333333333335,59
Hangzhou,2,B3_loco_ungated,10173,25,0.9766944622621339,0.9623034073144668,71,0.44,58
Hangzhou,2,B4_random_flip,10173,19,0.9764806499893094,0.9619878450062822,71,0.4066666666666667,61
Hangzhou,3,B0_baseline,10324,0,0.9555899248784799,0.9294779869001953,128,0.43333333333333335,59
Hangzhou,3,B1_local_oracle,10324,118,0.9474149359257623,0.9170281065413499,167,0.46,55
Hangzhou,3,B2_loco_gated,10324,19,0.9542642509942554,0.927428237859624,134,0.44,58
Hangzhou,3,B3_loco_ungated,10324,22,0.9536014140521432,0.9263699883682152,138,0.44,58
Hangzhou,3,B4_random_flip,10324,19,0.9536014140521432,0.9263031458676811,136,0.44666666666666666,57
Hangzhou,4,B0_baseline,9487,0,0.9746410591087078,0.9612247436754857,92,0.43333333333333335,59
Hangzhou,4,B1_local_oracle,9487,122,0.9701659518925975,0.9542794836002797,118,0.4533333333333333,57
Hangzhou,4,B2_loco_gated,9487,17,0.9744545963080365,0.9609399595902202,92,0.44,58
Hangzhou,4,B3_loco_ungated,9487,22,0.9737087451053514,0.959793757864506,97,0.43333333333333335,59
Hangzhou,4,B4_random_flip,9487,17,0.9750139847100503,0.9618014054943016,92,0.44,59
