[   125s] [P2|Hangzhou |s2] B2_loco_gated     n_corr=  14 WC_OA=0.9762 WC_BE= 77 Hum_OA=0.3333 Hum_BE= 62
[   126s] [P2|Hangzhou |s2] B3_loco_ungated   n_corr=  20 WC_OA=0.9760 WC_BE= 79 Hum_OA=0.3467 Hum_BE= 60
[   127s] [P2|Hangzhou |s2] B4_random_flip    n_corr=  14 WC_OA=0.9772 WC_BE= 73 Hum_OA=0.3133 Hum_BE= 67
[   128s] [P2|Hangzhou |s3] B0_baseline       n_corr=   0 WC_OA=0.9469 WC_BE=156 Hum_OA=0.3000 Hum_BE= 64
[   129s] [P2|Hangzhou |s3] B1_local_oracle   n_corr= 111 WC_OA=0.9434 WC_BE=173 Hum_OA=0.4000 Hum_BE= 50
[   130s] [P2|Hangzhou |s3] B2_loco_gated     n_corr=  13 WC_OA=0.9476 WC_BE=153 Hum_OA=0.3133 Hum_BE= 62
[   130s] [P2|Hangzhou |s3] B3_loco_ungated   n_corr=  16 WC_OA=0.9456 WC_BE=161 Hum_OA=0.3133 Hum_BE= 60
[   131s] [P2|Hangzhou |s3] B4_random_flip    n_corr=  13 WC_OA=0.9471 WC_BE=154 Hum_OA=0.3000 Hum_BE= 65
[   132s] [P2|Hangzhou |s4] B0_baseline       n_corr=   0 WC_OA=0.9727 WC_BE= 94 Hum_OA=0.2800 Hum_BE= 66
[   133s] [P2|Hangzhou |s4] B1_local_oracle   n_corr= 104 WC_OA=0.9701 WC_BE=109 Hum_OA=0.3533 Hum_BE= 55
[   134s] [P2|Hangzhou |s4] B2_loco_gated     n_corr=  13 WC_OA=0.9721 WC_BE= 98 Hum_OA=0.2933 Hum_BE= 63
[   135s] [P2|Hangzhou |s4] B3_loco_ungated   n_corr=  19 WC_OA=0.9720 WC_BE= 99 Hum_OA=0.3067 Hum_BE= 62
[   136s] [P2|Hangzhou |s4] B4_random_flip    n_corr=  13 WC_OA=0.9716 WC_BE= 97 Hum_OA=0.2800 Hum_BE= 67
[   136s] ========================================================================
[   136s] PHASE 2b  gate sensitivity sweep
[   136s] ========================================================================
[   193s]   Wuhan swept
[   245s]   Hefei swept
[   307s]   Nanchang swept
[   364s]   Nanjing swept
[   420s]   Changsha swept
[   476s]   Hangzhou swept
[   476s] ========================================================================
[   476s] PHASE 3  multi-reference referee (DW + ESRI, 6 cities)
[   476s] ========================================================================
[   477s] [P3|Wuhan    ] LOCO changed 18/150  OA_vs_Human 0.413->0.480  tri-consensus n=70
[   477s] [P3|Hefei    ] LOCO changed 28/150  OA_vs_Human 0.507->0.573  tri-consensus n=49
