system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,Original_ID,lat,lon,.geo,Pred_Class,Confidence
710,2229.0,1531.0,731.0,1016.0,997.0,2842.0,1,-0.37380585,-0.12088346,0.4805939,710,31.92572095572994,119.0508050796868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.0508050796868,31.92572095572994]}",2,0.974
722,1533.0,1007.0,378.5,503.0,443.5,2453.5,1,-0.5058939,-0.2309043,0.6938212,722,31.94314827224186,118.85631982067493,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.85631982067491,31.94314827224186]}",2,0.974
3328,1891.0,1652.0,768.0,1007.0,1001.0,2234.0,1,-0.30503795,-0.08315151,0.38114375,3328,32.52687354386272,118.81014641507116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.81014641507117,32.52687354386272]}",2,0.974
981,2331.5,1673.0,678.0,998.0,949.0,3081.0,1,-0.40051058,-0.13847575,0.52903223,981,31.89859183414953,118.44246596928106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.44246596928106,31.89859183414953]}",2,0.974
1730,2067.0,1560.0,691.0,898.0,978.0,2198.0,1,-0.39426646,-0.030715123,0.38413098,1730,32.45276253292286,118.84473155350976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.84473155350977,32.45276253292286]}",2,0.974
1740,2014.0,1625.0,641.5,920.5,949.0,2782.0,1,-0.37263587,-0.16013345,0.4912892,1740,32.32870519218596,118.92513077143848,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.92513077143848,32.32870519218596]}",2,0.974
4329,2255.5,1802.0,600.0,873.0,767.5,3260.5,1,-0.44190505,-0.18219724,0.6189176,4329,32.203030883937636,118.71016392394868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.71016392394867,32.203030883937636]}",2,0.972
2877,2213.0,1640.5,626.5,909.0,931.5,2357.5,1,-0.41768098,-0.031615797,0.43356642,2877,32.04654436144401,118.88731169797704,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.88731169797704,32.04654436144401]}",2,0.972
1932,1982.0,1553.0,610.5,839.0,830.0,2189.5,1,-0.40517548,-0.0497423,0.4502401,1932,31.689104709892856,118.80682264851993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.80682264851993,31.689104709892856]}",2,0.972
17,1914.0,1319.0,586.0,822.0,765.0,2512.0,1,-0.3991228,-0.1351107,0.53310955,17,32.23366343512611,119.13407890652468,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.13407890652468,32.23366343512611]}",2,0.972
75,1934.0,1587.5,996.5,1230.0,1320.0,1981.5,1,-0.22250316,-0.012131273,0.20036347,75,31.634756635203622,118.89449822025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.89449822025,31.634756635203626]}",2,0.972
1472,1992.0,1416.5,594.0,853.5,819.5,2702.5,1,-0.40010542,-0.15134732,0.5346394,1472,32.356552965993664,118.93411392427969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.93411392427967,32.356552965993664]}",2,0.972
472,2014.5,1725.5,646.5,830.5,836.5,2230.0,1,-0.41616872,-0.050771587,0.45442688,472,31.341456694938604,118.92414262462594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.92414262462594,31.341456694938604]}",2,0.972
1955,2105.0,1516.0,761.0,857.0,935.0,2357.0,1,-0.42133695,-0.056476917,0.43195626,1955,32.48213744271357,118.65428871327644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.65428871327644,32.48213744271357]}",2,0.97
4596,1920.0,1564.5,702.0,846.0,982.5,2108.5,1,-0.38828632,-0.04679161,0.3642834,4596,32.09532288137171,118.79361741384338,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.79361741384338,32.09532288137171]}",2,0.968
4240,2184.5,1733.0,624.5,909.5,1004.0,2361.0,1,-0.41208792,-0.038829613,0.40326893,4240,31.885386599472973,118.62428498278685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.62428498278685,31.885386599472973]}",2,0.968
