held_out,seed,method,n_train,n_corrected,WC_OA,WC_Kappa,WC_BE,Human_OA,Human_BE
Hangzhou,0,B0_baseline,9793,0,0.9632192999802255,0.9437572000018656,134,0.29333333333333333,64
Hangzhou,0,B1_local_oracle,9793,92,0.9604508601937908,0.9394912140812093,147,0.36666666666666664,53
Hangzhou,0,B2_loco_gated,9793,13,0.9634170456792565,0.9440501731281272,133,0.32,60
Hangzhou,0,B3_loco_ungated,9793,16,0.9632192999802255,0.9437499080540799,133,0.32666666666666666,59
Hangzhou,0,B4_random_flip,9793,13,0.9628238085821633,0.943156816505256,134,0.29333333333333333,64
Hangzhou,1,B0_baseline,9657,0,0.9535913730021183,0.9274353086553325,183,0.30666666666666664,64
Hangzhou,1,B1_local_oracle,9657,98,0.9516657038320816,0.9243494771702159,193,0.38666666666666666,54
Hangzhou,1,B2_loco_gated,9657,10,0.9547467745041401,0.9292341189714353,179,0.31333333333333335,63
Hangzhou,1,B3_loco_ungated,9657,10,0.9547467745041401,0.9292341189714353,179,0.31333333333333335,63
Hangzhou,1,B4_random_flip,9657,10,0.9533988060851146,0.9271127458997853,183,0.29333333333333333,66
Hangzhou,2,B0_baseline,10192,0,0.9770287677114642,0.9629021208358057,74,0.30666666666666664,66
Hangzhou,2,B1_local_oracle,10192,103,0.9744525547445255,0.9586912653096266,85,0.38666666666666666,54
Hangzhou,2,B2_loco_gated,10192,14,0.9761700300558179,0.961503045912769,77,0.3333333333333333,62
Hangzhou,2,B3_loco_ungated,10192,20,0.9759553456419064,0.961144625401004,79,0.3466666666666667,60
Hangzhou,2,B4_random_flip,10192,14,0.9772434521253757,0.9632418586063609,73,0.31333333333333335,67
Hangzhou,3,B0_baseline,10310,0,0.9469162995594713,0.9156835696395811,156,0.3,64
Hangzhou,3,B1_local_oracle,10310,111,0.9433920704845815,0.9105291263818457,173,0.4,50
Hangzhou,3,B2_loco_gated,10310,13,0.9475770925110132,0.9167943733246081,153,0.31333333333333335,62
Hangzhou,3,B3_loco_ungated,10310,16,0.9455947136563877,0.9136403941592326,161,0.31333333333333335,60
Hangzhou,3,B4_random_flip,10310,13,0.947136563876652,0.9160044772943821,154,0.3,65
Hangzhou,4,B0_baseline,9502,0,0.9727000747943156,0.9582480353570494,94,0.28,66
Hangzhou,4,B1_local_oracle,9502,104,0.9700822737471952,0.9541651155005022,109,0.35333333333333333,55
Hangzhou,4,B2_loco_gated,9502,13,0.9721391174270756,0.9573779432198712,98,0.29333333333333333,63
Hangzhou,4,B3_loco_ungated,9502,19,0.9719521316379955,0.9570918891475214,99,0.30666666666666664,62
Hangzhou,4,B4_random_flip,9502,13,0.9715781600598354,0.956517771529372,97,0.28,67
